date,d5y_bp,d10y_bp,fx_ret_pct,etf_ret_pct,etf_rate_attrib_pct,etf_spread_proxy_pct,oas_bp,doas_bp
2022-09-22,17.0,19.0,0.4149,-0.7129,-0.688,-0.0249,,
2022-09-23,5.0,-1.0,0.6956,-0.1917,-0.0124,-0.1794,,
2022-09-26,19.0,19.0,0.1654,-0.9128,-0.705,-0.2079,,
2022-09-27,6.0,9.0,0.5253,-0.451,-0.3076,-0.1433,,
2022-09-28,-29.0,-25.0,0.32,0.5534,0.965,-0.4116,,
2022-09-29,6.0,4.0,-1.1091,-0.3648,-0.1642,-0.2006,,
2022-09-30,8.0,7.0,-0.0857,-0.16,-0.2673,0.1073,,
2022-10-03,-16.0,-16.0,-0.045,0.485,0.5964,-0.1114,,
2022-10-04,-6.0,-5.0,0.0,0.0,0.1959,-0.1959,,
2022-10-05,12.0,14.0,0.0,-0.1367,-0.5021,0.3654,,
2022-10-06,9.0,7.0,0.0,-1.0428,-0.2758,-0.767,,
2022-10-07,9.0,6.0,0.0,-0.2768,-0.2471,-0.0297,,
2022-10-11,0.0,4.0,0.751,-0.5386,-0.1132,-0.4254,,
2022-10-12,-2.0,-2.0,0.113,0.0116,0.0758,-0.0642,,
2022-10-13,9.0,6.0,-0.0279,-0.4539,-0.2471,-0.2068,,
2022-10-14,4.0,3.0,0.2716,-0.333,-0.1186,-0.2144,,
2022-10-17,-1.0,2.0,0.0709,-0.2285,-0.0474,-0.1811,,
2022-10-18,-3.0,-1.0,0.0764,0.0879,0.0557,0.0323,,
2022-10-19,14.0,13.0,0.3867,-0.5288,-0.4904,-0.0384,,
2022-10-20,10.0,10.0,-0.2091,-0.5553,-0.3703,-0.185,,
2022-10-21,-11.0,-3.0,0.3736,-0.1363,0.1811,-0.3174,,
2022-10-24,2.0,4.0,0.3172,-0.196,-0.1302,-0.0657,,
2022-10-25,-11.0,-15.0,0.0812,0.2434,0.5252,-0.2818,,
2022-10-26,-5.0,-6.0,-1.3546,0.3019,0.2161,0.0859,,
2022-10-27,-11.0,-8.0,0.735,0.4012,0.3244,0.0767,,
2022-10-28,10.0,6.0,0.3593,-0.2771,-0.2556,-0.0215,,
2022-10-31,8.0,8.0,0.7544,-0.3608,-0.296,-0.0648,,
2022-11-01,0.0,-3.0,-0.4363,-0.0119,0.0875,-0.0994,,
2022-11-02,3.0,3.0,0.2198,-0.0415,-0.1101,0.0686,,
2022-11-03,6.0,4.0,0.1508,-0.3683,-0.1642,-0.204,,
2022-11-04,-3.0,3.0,-0.0055,-0.0833,-0.059,-0.0243,,
2022-11-07,6.0,5.0,-1.0051,-0.0238,-0.1929,0.1691,,
2022-11-08,-8.0,-8.0,0.3026,0.4161,0.2989,0.1172,,
2022-11-09,-4.0,-2.0,-0.116,0.3612,0.0929,0.2684,,
2022-11-10,-32.0,-30.0,-0.7779,1.0232,1.1339,-0.1107,,
2022-11-14,5.0,6.0,-1.5854,0.9144,-0.2131,1.1275,,
2022-11-15,-7.0,-8.0,-0.3826,0.6472,0.2904,0.3568,,
2022-11-16,-10.0,-13.0,0.7411,0.4483,0.4593,-0.0111,,
2022-11-17,10.0,10.0,0.8238,-0.3446,-0.3703,0.0257,,
2022-11-18,6.0,5.0,-0.503,-0.265,-0.1929,-0.0721,,
2022-11-21,-2.0,1.0,0.6273,0.0173,-0.0102,0.0275,,
2022-11-22,-4.0,-7.0,-0.3524,0.2765,0.2362,0.0403,,
2022-11-23,-5.0,-5.0,0.2686,0.4076,0.1874,0.2202,,
2022-11-25,-3.0,-3.0,0.0866,0.4744,0.113,0.3614,,
2022-11-28,3.0,1.0,0.6012,0.0684,-0.0527,0.1211,,
2022-11-29,4.0,6.0,-0.7045,-0.0114,-0.2046,0.1932,,
2022-11-30,-10.0,-7.0,-0.9674,0.6079,0.2873,0.3206,,
2022-12-01,-14.0,-15.0,-0.644,0.9078,0.5507,0.3571,,
2022-12-02,-1.0,-2.0,-0.3328,0.2411,0.0673,0.1737,,
2022-12-05,13.0,9.0,-0.8298,-0.3084,-0.3672,0.0587,,
2022-12-06,-7.0,-9.0,0.4658,0.2524,0.3191,-0.0667,,
2022-12-07,-11.0,-9.0,-0.3337,0.3858,0.3531,0.0327,,
2022-12-08,9.0,6.0,-0.0761,-0.0949,-0.2471,0.1522,,
2022-12-09,4.0,9.0,-0.1293,-0.3245,-0.2906,-0.0339,,
2022-12-12,5.0,4.0,0.3072,-0.0617,-0.1557,0.0941,,
2022-12-13,-14.0,-10.0,-0.4928,0.4309,0.4073,0.0236,,
2022-12-14,-2.0,-2.0,0.0979,0.2899,0.0758,0.2141,,
