date,ret_tr_pct,ret_rmb_pct,hs250_var_95,rmb_hs250_var_95,hs250_var_99,rmb_hs250_var_99,hs500_var_95,rmb_hs500_var_95,hs500_var_99,rmb_hs500_var_99,hs750_var_95,rmb_hs750_var_95,hs750_var_99,rmb_hs750_var_99,fhs_sig_e,fhs_sig_g,rmb_fhs_sig_e,rmb_fhs_sig_g,fhs_e_var_95,fhs_g_var_95,rmb_fhs_e_var_95,rmb_fhs_g_var_95,fhs_e_var_99,fhs_g_var_99,rmb_fhs_e_var_99,rmb_fhs_g_var_99
2023-03-02,-0.2433,0.4332,0.580875,0.759945,0.969614,1.14177,,,,,,,,,0.293488,0.317527,0.470512,0.51351,,,,,,,,
2023-03-03,0.4014,0.2943,0.580875,0.759945,0.969614,1.14177,,,,,,,,,0.290721,0.314171,0.468357,0.513157,,,,,,,,
2023-03-06,-0.0226,0.3345,0.55368,0.751305,0.817593,1.14177,,,,,,,,,0.298522,0.320601,0.459776,0.511687,,,,,,,,
2023-03-07,-0.0847,0.3617,0.55368,0.751305,0.817593,1.14177,,,,,,,,,0.28948,0.314121,0.453237,0.51051,,,,,,,,
2023-03-08,-0.1639,-0.3206,0.55368,0.751305,0.817593,1.14177,,,,,,,,,0.281427,0.307728,0.448272,0.509523,,,,,,,,
2023-03-09,0.3501,0.5427,0.55368,0.751305,0.817593,1.14177,,,,,,,,,0.275792,0.30241,0.441653,0.50817,,,,,,,,
2023-03-10,0.8644,-0.0083,0.545805,0.751305,0.817593,1.14177,,,,,,,,,0.280805,0.306855,0.448359,0.508897,,,,,,,,
2023-03-13,0.7128,-0.1164,0.545805,0.751305,0.817593,1.14177,,,,,,,,,0.344894,0.349574,0.434705,0.49203,,,,,,,,
2023-03-14,-0.562,-0.2339,0.545805,0.751305,0.817593,1.14177,,,,,,,,,0.377226,0.368724,0.422425,0.484701,,,,,,,,
2023-03-15,0.7671,1.2392,0.55368,0.751305,0.817593,1.14177,,,,,,,,,0.390784,0.376236,0.413545,0.502577,,,,,,,,
2023-03-16,-0.4996,-0.5576,0.545805,0.751305,0.715756,1.14177,,,,,,,,,0.422914,0.398982,0.502887,0.515947,,,,,,,,
2023-03-17,0.7154,0.5776,0.545805,0.751305,0.715756,1.14177,,,,,,,,,0.427903,0.403222,0.506336,0.516658,,,,,,,,
2023-03-20,-0.4264,-0.5717,0.545805,0.751305,0.715756,1.14177,,,,,,,,,0.450358,0.425373,0.510892,0.517698,,,,,,,,
2023-03-21,-0.3168,-0.2296,0.545805,0.751305,0.715756,1.14177,,,,,,,,,0.448957,0.424945,0.514743,0.518536,,,,,,,,
2023-03-22,0.699,0.6583,0.545805,0.751305,0.715756,1.14177,,,,,,,,,0.442143,0.41976,0.502221,0.516647,,,,,,,,
2023-03-23,0.3532,-0.5432,0.538015,0.751305,0.715756,1.14177,,,,,,,,,0.461603,0.441389,0.512927,0.518753,,,,,,,,
2023-03-24,-0.0716,0.6401,0.538015,0.751305,0.715756,1.14177,,,,,,,,,0.455826,0.437972,0.514794,0.519197,,,,,,,,
2023-03-27,-0.6471,-0.4158,0.538015,0.751305,0.715756,1.14177,,,,,,,,,0.442287,0.426781,0.523159,0.520989,,,,,,,,
2023-03-28,-0.111,-0.2695,0.545805,0.751305,0.715756,1.14177,,,,,,,,,0.457171,0.440007,0.517346,0.520272,,,,,,,,
2023-03-29,-0.0333,0.1658,0.538015,0.751305,0.715756,1.14177,,,,,,,,,0.444077,0.429414,0.505911,0.518593,,,,,,,,
